model,MAE,RMSE,R2
XGBoost,2643.687660056939,3495.4500144173803,0.9330210318093126
Linear Regression,2842.798856571008,3703.436286928341,0.9248131282117508
Ramdom Forest,3338.097590094362,4569.3355322096095,0.885544053541377
